marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
9,516,2013,2803211,2026,6
9,516,2012,2719115,2026,6
9,517,2013,2828397,2026,6
9,517,2012,2743544,2026,6
9,518,2012,2539625,2026,6
9,519,2012,2722559,2026,6
9,520,2013,3072410,2026,6
9,520,2012,2980238,2026,6
9,521,2012,669634,2026,6
9,522,2013,811347,2026,6
9,522,2012,787007,2026,6
9,523,2013,1237097,2026,6
9,523,2012,1199984,2026,6
9,524,2012,1155038,2026,6
9,525,2012,888833,2026,6
9,526,2012,952759,2026,6
9,527,2012,899342,2026,6
9,628,2012,962312,2026,6
9,629,2014,2325007,2026,6
9,629,2013,2255257,2026,6
9,629,2012,2187600,2026,6
9,630,2014,2010236,2026,6
9,630,2013,1949928,2026,6
9,630,2012,1891431,2026,6
9,631,2014,1698118,2026,6
9,631,2013,1647174,2026,6
9,631,2012,1597759,2026,6
9,632,2013,5519870,2026,6
9,632,2012,5354275,2026,6
9,633,2012,2236368,2026,6
9,634,2012,1012293,2026,6
9,635,2012,1243324,2026,6
9,636,2012,3915666,2026,6
9,637,2016,1810276,2026,6
9,637,2015,1755968,2026,6
9,637,2014,1703289,2026,6
9,637,2013,1652190,2026,6
9,637,2012,1602625,2026,6
9,638,2012,2923762,2026,6
